"Timestamp","I have a vivid imagination and enjoy hearing new, abstract ideas.","I am curious about many different things and like trying new experiences.","I am always prepared, organized, and follow a schedule","I am diligent and complete tasks thoroughly and on time."," I am the life of the party and feel energized by social interactions. "," I enjoy being the center of attention and meeting new people."," I sympathize with others' feelings and try to make people feel at ease.","I am generally trusting and kind to almost everyone I meet."," I get stressed out easily and frequently worry about things. "," I often feel blue or experience frequent mood swings."," Which of the following study techniques have you used and found highly effective for your learning? (Select all that apply)","Average Study Hours per day"
"2025/12/29 11:19:28 AM GMT+5","4","3","1","2","4","4","4","5","4","4","Mind Mapping: Creating visual diagrams to connect different concepts and ideas.;Pomodoro Technique: Studying in focused 25-minute bursts followed by short 5-minute breaks to manage focus/anxiety.;Group Study: Discussing topics and quizzing peers in a social setting.","3"
"2025/12/29 11:45:20 AM GMT+5","4","4","3","4","5","4","5","4","2","3","Spaced Repetition: Reviewing material at increasing intervals (e.g., using notes or flashcards).;Active Recall: Testing yourself or doing practice questions rather than just reading notes.;Group Study: Discussing topics and quizzing peers in a social setting.","3"
"2025/12/29 11:46:13 AM GMT+5","5","4","2","3","2","2","5","5","4","4","Active Recall: Testing yourself or doing practice questions rather than just reading notes.;Pomodoro Technique: Studying in focused 25-minute bursts followed by short 5-minute breaks to manage focus/anxiety.;Feynman Technique: Explaining a concept in simple terms to someone else (or an imaginary student) to identify gaps in your knowledge.;Group Study: Discussing topics and quizzing peers in a social setting.","3"
"2025/12/29 12:05:17 PM GMT+5","3","5","4","5","5","3","5","3","2","2","Feynman Technique: Explaining a concept in simple terms to someone else (or an imaginary student) to identify gaps in your knowledge.","7"
"2025/12/29 12:53:06 PM GMT+5","4","4","3","3","3","4","4","4","4","4","Pomodoro Technique: Studying in focused 25-minute bursts followed by short 5-minute breaks to manage focus/anxiety.","1"
"2025/12/29 1:08:33 PM GMT+5","4","4","4","2","4","4","5","4","3","2","Spaced Repetition: Reviewing material at increasing intervals (e.g., using notes or flashcards).;Mind Mapping: Creating visual diagrams to connect different concepts and ideas.","1"
"2025/12/29 1:41:05 PM GMT+5","5","5","2","2","1","1","5","5","1","5","Active Recall: Testing yourself or doing practice questions rather than just reading notes.","1"
"2025/12/29 2:09:50 PM GMT+5","4","4","2","2","4","2","4","5","4","4","","1"
"2025/12/29 2:12:46 PM GMT+5","5","5","4","4","3","4","4","3","3","3","Mind Mapping: Creating visual diagrams to connect different concepts and ideas.;Feynman Technique: Explaining a concept in simple terms to someone else (or an imaginary student) to identify gaps in your knowledge.","1"
"2025/12/29 2:17:47 PM GMT+5","4","4","4","3","2","2","5","5","5","5","Pomodoro Technique: Studying in focused 25-minute bursts followed by short 5-minute breaks to manage focus/anxiety.;Feynman Technique: Explaining a concept in simple terms to someone else (or an imaginary student) to identify gaps in your knowledge.","3"
